"id","business_name","coord_x","coord_y","full_address"
"3000000-101-1982-03189","낭만 종각점","198657.834617958    ","451870.193241235    ","서울특별시 종로구 관철동 32-1 1~3층 "
"3000000-101-1982-03197","라르티스타 주식회사","199168.812970025    ","452396.995297502    ","서울특별시 종로구 묘동 128-1 "
"3000000-101-1982-03780","주식회사 을지맥옥 광화문점","197736.409683499    ","452089.202701048    ","서울특별시 종로구 당주동 38-1 "
"3000000-101-1982-04223","전주완산골","200012.643508099    ","452113.294326677    ","서울특별시 종로구 종로5가 98-8 "
"3000000-101-1982-04249","여름","197741.609023844    ","452137.130805439    ","서울특별시 종로구 당주동 15-7 "
"3000000-101-1982-06008","둘리","200899.709096426    ","452134.545425205    ","서울특별시 종로구 창신동 464-4 지상1층 "
"3000000-101-1982-06361","중앙치킨","199133.352942071    ","452385.707440297    ","서울특별시 종로구 묘동 147 "
"3000000-101-1982-06623","삼정한정식","200069.598960974    ","452132.848980757    ","서울특별시 종로구 효제동 320 2층 "
"3000000-101-1982-06671","신씨화로","198564.267926384    ","452079.873784197    ","서울특별시 종로구 인사동 255-0 지상1층 "
"3000000-101-1983-00365","초정","198814.210284072    ","453016.584496483    ","서울특별시 종로구 계동 140-46 "
"3000000-101-1983-00546","신의주 찹쌀순대","200525.160797921    ","452231.31118379     ","서울특별시 종로구 종로6가 173-0 지상1층 "
"3000000-101-1983-00557","바420(bar420)","198967.055916578    ","451816.052173517    ","서울특별시 종로구 관수동 161-7 "
"3000000-101-1983-00641","양반댁","198687.074744287    ","452218.472400712    ","서울특별시 종로구 인사동 193-5 "
"3000000-101-1983-00758","정동","197208.638642993    ","451814.875820174    ","서울특별시 종로구 신문로2가 17-1 "
"3000000-101-1983-00839","종로우리곱창·닭갈비","199941.715727865    ","452142.12600117     ","서울특별시 종로구 종로5가 120-4 "
"3000000-101-1983-00856","모던김밥","197565.558055019    ","452681.422813897    ","서울특별시 종로구 적선동 97 "
"3000000-101-1983-00873","동묘맛집","201627.475436833    ","452363.525911978    ","서울특별시 종로구 숭인동 228-5 1층 "
"3000000-101-1983-00879","세화정","200543.131532509    ","452147.957544762    ","서울특별시 종로구 종로6가 33-15 "
"3000000-101-1983-00907","호이식 종로 안국","198721.035779016    ","452835.889830727    ","서울특별시 종로구 재동 84-7 "
"3000000-101-1983-00936","롤라곱창","198686.823182259    ","452836.711567294    ","서울특별시 종로구 재동 84-15 "
"3000000-101-1983-00974","황소집","201603.97631019     ","452353.22244018     ","서울특별시 종로구 숭인동 227-7 "
"3000000-101-1983-01144","상해반점","201016.582951588    ","452169.826734645    ","서울특별시 종로구 창신동 519-1 외 522-1 "
"3000000-101-1983-01200","모꼬지장","198628.820963916    ","452524.894696241    ","서울특별시 종로구 관훈동 84-12 "
"3000000-101-1983-01288","육회자매집(본점)","199920.493510457    ","452031.129171537    ","서울특별시 종로구 종로4가 177 제우빌딩 1동 4호"
"3000000-101-1983-01305","전주옥돌정","200405.928740838    ","452043.805935724    ","서울특별시 종로구 종로5가 256 "
"3000000-101-1983-01319","육회한 연어 대학로점","199888.13741057     ","453431.954823985    ","서울특별시 종로구 명륜2가 182-2 "
"3000000-101-1983-01678","조마루(신설동점)","201806.067315048    ","452409.804973851    ","서울특별시 종로구 숭인동 201-10 "
"3000000-101-1983-03115","덕성각","200510.694679865    ","452051.546225034    ","서울특별시 종로구 종로6가 253-6 대학천상가(덕성빌딩) "
"3000000-101-1983-03182","신라반점","198954.756855442    ","452290.138169454    ","서울특별시 종로구 낙원동 88-1 "
"3000000-101-1983-03187","오봉집 종로5가점","199842.794409617    ","452250.651463278    ","서울특별시 종로구 인의동 28-6 "
"3000000-101-1983-03234","광화문 더덕순대","197728.388480851    ","452086.244267116    ","서울특별시 종로구 당주동 38-2 "
"3000000-101-1983-03599","만만타코야끼","199673.08392219     ","453550.761961763    ","서울특별시 종로구 명륜3가 118-1 "
"3000000-101-1983-03670","하이트 클래스","197525.415075703    ","452707.110414437    ","서울특별시 종로구 통의동 35-2 "
"3000000-101-1983-03756","소숯점","197753.303788837    ","452113.17286869     ","서울특별시 종로구 당주동 20-2 "
"3000000-101-1983-03955","대왕 해물탕","200065.195268613    ","453279.735893133    ","서울특별시 종로구 명륜4가 98-1 "
"3000000-101-1983-04017","인사샤브정","198752.30611807     ","452360.624544433    ","서울특별시 종로구 인사동 7 "
"3000000-101-1983-04151","HAVEN(헤이븐)","197404.499612483    ","453163.334450214    ","서울특별시 종로구 창성동 153-1 "
"3000000-101-1983-04260","종로돈부리","198816.147205348    ","451850.608028219    ","서울특별시 종로구 관철동 7-14 "
"3000000-101-1983-04699","유도리","198651.119766996    ","451931.50837289     ","서울특별시 종로구 관철동 18-13 연타운빌딩 1층 "
"3000000-101-1983-05674","깡순이네","200508.296314377    ","452171.567159871    ","서울특별시 종로구 종로6가 141-1 수상빌딩 "
"3000000-101-1983-06069","창신 561","200863.91939091     ","452188.262848738    ","서울특별시 종로구 창신동 561-1 "
"3000000-101-1983-06104","발리호프원","200868.471361082    ","452196.989843636    ","서울특별시 종로구 창신동 561-2 "
"3000000-101-1983-06151","호랭이 뼈다귀","201091.610000395    ","452197.483437905    ","서울특별시 종로구 창신동 379-0 "
"3000000-101-1983-06180","장수식당","200482.075844338    ","452168.420855532    ","서울특별시 종로구 종로6가 244-14 "
"3000000-101-1983-06243","육미","198564.267926384    ","452079.873784197    ","서울특별시 종로구 인사동 255-0 "
"3000000-101-1983-06282","조가네 뼈해장국","199736.479746216    ","452374.914589335    ","서울특별시 종로구 인의동 15-2 "
"3000000-101-1983-06615","왕방울분식","198697.706712628    ","451897.834324531    ","서울특별시 종로구 관철동 13-13 "
"3000000-101-1983-06617","계동치킨(낙원점)","199004.15226816     ","452067.89327956     ","서울특별시 종로구 낙원동 198 지상1층 "
"3000000-101-1983-06625","더 우리곱창","200321.80334094     ","451991.870046223    ","서울특별시 종로구 종로5가 225-8 "
"3000000-101-1983-07010","계동치킨 종로5가점","199954.630380824    ","452113.73474135     ","서울특별시 종로구 종로5가 122-1 "
"3000000-101-1983-08011","모토이시 종각점","198610.944548919    ","451883.832748911    ","서울특별시 종로구 관철동 173-1 "
"3000000-101-1983-08012","고래불 수산","199701.14024464     ","452378.462146227    ","서울특별시 종로구 인의동 81-1 외 4필지 지상1층 "
"3000000-101-1983-08038","강촌숯불닭갈비","200864.097357365    ","452222.374907226    ","서울특별시 종로구 창신동 687-25 "
"3000000-101-1983-10492","경복궁","198572.839145325    ","452022.373156033    ","서울특별시 종로구 종로2가 8-4 "
"3000000-101-1984-00349","황해집","200866.200047669    ","452045.754769625    ","서울특별시 종로구 창신동 444-3 지상1층 "
